Testing Addition of MD,,FGRSMD 1,FGRSMD 2,P value Diff
MD only ,,--,0.3387,--
,,,0.009234,
AD,AD MD,0.2484,0.4244,<0.0001
,,0.011048,0.006105,
AUD,AUD MD,0.1029,0.3676,<0.0001
,,0.03889,0.028257,
DUD,DUD MD,0.1862,0.3677,<0.0001
,,0.019276,0.020633,
AD AUD,AD AUD MD,0.2771,0.5223,<0.0001
,,0.031198,0.020977,
AD DUD,AD DUD MD,0.3344,0.4826,<0.0001
,,0.02148,0.014131,
AUD DUD,AUD DUD MD,0.2232,0.3883,<0.0001
,,0.016257,0.0251,
Testing Addition of AD,,FGRSAD 1,FGRSAD 2,P value Diff
AD only ,,--,0.3954,--
,,,0.011768,
MD,MD AD,0.222,0.4327,<0.0001
,,0.008819,0.006203,
AUD,AUD AD,0.1461,0.3734,<0.0001
,,0.038203,0.033543,
DUD,DUD AD,0.2299,0.5008,<0.0001
,,0.020248,0.02351,
MD AUD,MD AUD AD,0.3442,0.5638,<0.0001
,,0.028018,0.021349,
MD DUD,MD DUD AD,0.3204,0.5392,<0.0001
,,0.020108,0.014792,
AUD DUD,AUD DUD AD,0.303,0.5301,<0.0001
,,0.017181,0.024642,
Testing Addition of AUD,,FGRSAUD 1,FGRSAUD 2,P value Diff
AUD only ,,--,0.6388,--
,,,0.050319,
MD,MD AUD,0.0853,0.4464,<0.0001
,,0.008478,0.031377,
AD,AD AUD,0.1049,0.5398,<0.0001
,,0.010491,0.038555,
DUD,DUD AUD,0.6997,0.9591,<0.0001
,,0.028206,0.025401,
MD AD,MD AD AUD,0.1728,0.5952,<0.0001
,,0.005893,0.02372,
MD DUD,MD DUD AUD,0.5046,0.7872,<0.0001
,,0.02492,0.03432,
AD DUD,AD DUD AUD,0.6352,1.0071,<0.0001
,,0.02804,0.034553,
Testing Addition of DUD,,FGRSDUD 1,FGRSDUD 2,P value Diff
DUD only,,--,0.877,--
,,,0.033558,
MD,MD DUD,0.1014,0.6369,<0.0001
,,0.00873,0.030708,
AD,AD DUD,0.1108,0.8371,<0.0001
,,0.010751,0.036818,
AUD,AUD DUD,0.3718,1.0143,<0.0001
,,0.051584,0.029717,
MD AD,MD AD DUD,0.1873,0.7402,<0.0001
,,0.006158,0.020692,
MD AUD,MD AUD DUD,0.303,0.7809,<0.0001
,,0.029666,0.039219,
AD AUD,AD AUD DUD,0.4513,1.1065,<0.0001
,,0.042763,0.041627,